Date,Open,High,Low,Close,Volume,Adj Close
2014-05-02,141.63,141.83,139.87,140.12,5758500,140.12
2014-05-01,139.50,141.49,139.12,140.81,3997400,140.81
2014-04-30,137.63,139.20,137.33,139.09,2904000,139.09
2014-04-29,137.87,137.90,136.56,137.55,1820900,137.55
2014-04-28,137.43,138.35,135.97,137.23,2244300,137.23
2014-04-25,136.50,136.96,135.69,136.56,2093100,136.56
2014-04-24,136.38,136.99,135.00,136.65,2847800,136.65
2014-04-23,138.81,138.89,137.89,137.99,2847500,137.99
2014-04-22,138.50,139.52,138.13,138.89,2252500,138.89
2014-04-21,137.25,138.71,137.18,138.62,1781100,138.62
2014-04-17,137.30,138.25,137.25,137.73,2645600,137.73
2014-04-16,135.17,136.78,134.81,136.77,2135200,136.77
2014-04-15,133.27,134.35,132.02,134.09,2119000,134.09
2014-04-14,133.45,133.52,132.02,133.15,2058100,133.15
2014-04-11,133.37,133.84,132.39,132.39,2368200,132.39
2014-04-10,135.73,136.43,133.90,133.97,2857200,133.97
2014-04-09,135.00,135.87,134.50,135.84,2671900,135.84
2014-04-08,134.44,135.15,133.43,134.84,2893600,134.84
2014-04-07,135.81,136.25,134.39,134.40,2807500,134.40
2014-04-04,136.90,137.77,135.77,135.86,2735300,135.86
2014-04-03,136.22,137.19,135.70,136.14,2676200,136.14
2014-04-02,135.99,136.25,135.33,136.00,3281400,136.00
2014-04-01,135.88,136.65,135.67,136.53,2370800,136.53
2014-03-31,134.61,135.87,134.58,135.66,2711800,135.66
2014-03-28,133.58,134.97,133.18,134.20,1906500,134.20
2014-03-27,132.82,133.49,132.18,132.84,2402500,132.84
2014-03-26,134.66,134.89,133.09,133.09,2318900,133.09
2014-03-25,133.66,134.53,132.90,134.06,2897600,134.06
2014-03-24,133.32,133.70,131.88,132.42,2793600,132.42
2014-03-21,133.58,134.24,132.90,133.12,5920400,133.12
2014-03-20,131.15,132.85,130.86,132.43,2577500,132.43
2014-03-19,132.75,132.85,130.58,131.23,2141000,131.23
2014-03-18,132.49,133.23,132.25,132.74,2032800,132.74
2014-03-17,130.66,132.69,130.66,132.27,2529400,132.27
2014-03-14,130.08,131.11,129.70,129.83,2975100,129.83
2014-03-13,133.19,133.67,130.64,130.81,2520700,130.81
2014-03-12,132.07,132.76,131.59,132.57,2637000,132.57
2014-03-11,133.73,133.84,132.23,132.51,1928900,132.51
2014-03-10,133.98,134.08,133.10,133.56,1966100,133.56
2014-03-07,134.88,135.00,133.71,134.11,2381400,134.11
2014-03-06,134.37,134.74,134.02,134.08,2236800,134.08
2014-03-05,132.66,134.03,132.19,133.85,3551400,133.85
2014-03-04,131.92,133.08,131.58,132.68,6975500,132.68
2014-03-03,133.07,133.81,131.67,132.21,2814400,132.21
2014-02-28,134.19,135.20,133.92,134.73,3179400,134.73
2014-02-27,132.63,134.58,132.00,134.34,3124000,134.34
2014-02-26,133.13,133.46,132.28,132.86,2771100,132.86
2014-02-25,132.27,133.43,131.86,132.93,2863100,132.93
2014-02-24,131.89,133.46,131.44,132.20,2454300,132.20
2014-02-21,131.56,132.33,131.30,131.57,2574300,131.57
2014-02-20,130.65,132.03,130.05,131.56,2155800,131.56
2014-02-19,131.33,132.71,130.46,130.56,2719400,130.56
2014-02-18,132.31,132.75,131.64,131.80,2876500,131.80
2014-02-14,129.77,132.19,129.50,132.12,3030000,132.12
2014-02-13,129.29,130.38,128.66,130.14,2850600,130.14
2014-02-12,130.34,131.00,130.01,130.44,2100600,130.44
2014-02-11,129.70,131.49,129.65,130.98,2604000,130.12
2014-02-10,129.65,130.41,129.02,129.70,3317400,128.85
2014-02-07,129.57,130.39,128.81,130.33,3263200,129.48
2014-02-06,127.60,129.20,127.10,128.90,3828400,128.06
2014-02-05,128.01,128.76,125.92,127.36,4960000,126.53
2014-02-04,126.09,127.64,124.12,126.72,7412500,125.89
2014-02-03,128.22,128.59,123.61,123.90,4245100,123.09
2014-01-31,126.60,129.20,126.42,128.19,3715400,127.35
2014-01-30,129.96,129.96,126.53,128.05,4102600,127.21
2014-01-29,130.10,131.27,129.00,130.25,3584000,129.40
